audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,276,0.814212261,0.84195122,,,276,0.752907053,0.785365854,,,,,,,,,,
,277,0.815425181,0.844878049,,,277,0.754594595,0.794146341,,,,,,,,,,
,278,0.813421226,0.824390244,,,278,0.7524588,0.778536585,,,,,,,,,,
,279,0.8181147,0.827317073,,,279,0.757310481,0.779512195,,,,,,,,,,
,280,0.821147001,0.816585366,,,280,0.760448253,0.784390244,,,,,,,,,,
,281,0.816189848,0.831219512,,,281,0.7562294,0.775609756,,,,,,,,,,
,282,0.815873434,0.820487805,,,282,0.756862228,0.774634146,,,,,,,,,,
,283,0.818905735,0.83804878,,,283,0.759050758,0.767804878,,,,,,,,,,
,284,0.817930125,0.83902439,,,284,0.756519446,0.780487805,,,,,,,,,,
,285,0.81872116,0.834146341,,,285,0.75683586,0.775609756,,,,,,,,,,
,286,0.817692815,0.858536585,,,286,0.755939354,0.781463415,,,,,,,,,,
,287,0.821911668,0.851707317,,,287,0.759920897,0.787317073,,,,,,,,,,
,288,0.819248517,0.865365854,,,288,0.759472643,0.785365854,,,,,,,,,,
,289,0.820250494,0.854634146,,,289,0.760553724,0.782439024,,,,,,,,,,
,290,0.819011206,0.83902439,,,290,0.758760712,0.775609756,,,,,,,,,,
,291,0.820329598,0.837073171,,,291,0.759789057,0.775609756,,,,,,,,,,
,292,0.822096243,0.830243902,,,292,0.761001978,0.771707317,,,,,,,,,,
,293,0.819617666,0.828292683,,,293,0.758866183,0.771707317,,,,,,,,,,
,294,0.819564931,0.826341463,,,294,0.759419908,0.773658537,,,,,,,,,,
,295,0.8218853,0.84195122,,,295,0.758259723,0.769756098,,,,,,,,,,
,296,0.820593276,0.835121951,,,296,0.760659196,0.773658537,,,,,,,,,,
,297,0.823783784,0.852682927,,,297,0.762531312,0.782439024,,,,,,,,,,
,298,0.82407383,0.850731707,,,298,0.762003955,0.767804878,,,,,,,,,,
,299,0.822913645,0.850731707,,,299,0.763375082,0.771707317,,,,,,,,,,
,300,0.82225445,0.84195122,,,300,0.761344759,0.791219512,,,,,,,,,,
,301,0.824759394,0.852682927,,,301,0.763480554,0.782439024,,,,,,,,,,
,302,0.822649967,0.832195122,,,302,0.761371127,0.783414634,,,,,,,,,,
,303,0.822043507,0.820487805,,,303,0.762135794,0.770731707,,,,,,,,,,
,304,0.821305208,0.821463415,,,304,0.760158207,0.781463415,,,,,,,,,,
,305,0.823361898,0.817560976,,,305,0.762610415,0.766829268,,,,,,,,,,
,306,0.826816084,0.842926829,,,306,0.767382993,0.774634146,,,,,,,,,,
,307,0.825102175,0.84195122,,,307,0.763427818,0.778536585,,,,,,,,,,
,308,0.827317073,0.83902439,,,308,0.76875412,0.772682927,,,,,,,,,,
